SN,File No,Subject,Vote of Charge,Department,Naration,Proposed Amount,Actual Amount,Status,Remarks,Date Sent,Date Approved,Proposed Amount_num,Actual Amount_num,Stage,Pending Value,Aging Days,Aging Bucket
201,CCTI/AD 2001    (2026),STRATEGIC MANAGEMENT MEETING,Servicing of Meetings/ Statutory  -: 004/04002/01/777/11009/0000/40807,Admin/HR,REQUEST FOR RELEASE OF FUNDS FOR SERVICING OF MEETING,"₦10,000,000.00","₦5,000,000.00",Approved by MEBP,,09/02/26,17/03/26,10000000.0,5000000.0,MEBP,5000000.0,67,60+ days
213,LASCOPA/LEGAL/214 I,LITIGATION MATTERS,,LASCOPA,"REQUEST FOR THE RELEASE OF FUND FOR FILING OF LITIGATION, SERVICING OF COURT PROCESSES","₦7,000,000.00",₦0.00,Awaiting Approval - MEBP,,09/02/26,01/01/70,7000000.0,0.0,MEBP,7000000.0,67,60+ days
238,CCTI/AD. 1070/31   (2026),MAINTENANCE OF VEHICLE,Refurbishment of Operational Vehicles  -: 004/04002/02/701/11009/6482/45053,Admin/HR,"REQUEST FOR FUNDS FOR REFURBISHMENT OF OFFICIAL VEHICLES OF THE HONOURABLE COMMISSIONER, THE PERMANENT SECRETARY AND DIRECTOR ADMIN, & HR OF THE MINISTRY OF COMMERCE, COOPERATIVES, TRADE & INVESTMENT","₦7,025,000.00","₦7,025,000.00",Approved by DG,,09/02/26,17/03/26,7025000.0,7025000.0,DG,0.0,67,60+ days
239,CCTI/AD. 731,MOTOR VEHICLES GENERAL,Refurblishment of Operational Vehicles  -: 004/04002/02/701/11009/6482/45053,Admin/HR,"SERVICING/MAINTENANCE AND REPAIR OF OFFICIAL VEHICLES OF THE MINISTRY OF COMMERCE, COOPERATIVES, TRADE AND INVESTMENT","₦9,822,000.00","₦9,822,000.00",Approved by DG,,09/02/26,23/02/26,9822000.0,9822000.0,DG,0.0,67,60+ days
254,CCTI/AD. 1155 II   (2026),HC MEETING WITH INVESTORS/STAKEHOLDERS,Honourable Commissioner Expenses -: 004/04002/01/702/11009/0000/41714,Office of HC,REQUEST FOR APPROVAL OF FUNDS FOR ORGANISING MEETINGS WITH INVESTORS AND ALL STAKEHOLDERS IN THE INDUSTRIAL HUBS IN THE STATE FOR THE 1ST QUARTER OF THE YEAR 2026,"₦10,000,000.00","₦10,000,000.00",Approved by DG,,09/02/26,06/03/26,10000000.0,10000000.0,DG,0.0,67,60+ days
287,CIC/ADC 1147 II,LEKKI FREE ZONE PARCEL B,Welfare Expenses -: 004/04002/01/702/11009/0000/41929,Commerce,REQUEST FOR APPROVAL AND RELEASE OF FUNDS FOR CUSTOMARY CHRISTMAS (2026) GIFTS TO HOST COMMUNITIES WITHIN THE LEKKI FREE ZONE CORRIDOR,"₦34,650,000.00",₦0.00,Awaiting Approval - Mr Governor (MG),,09/02/26,01/01/70,34650000.0,0.0,MG,34650000.0,67,60+ days
290,CCTI/ADC. 2022,OFFICE EQUIPMENT FOR COOPERATIVE AREA OFFICE,,Cooperatives,OFFICE EQUIPMENT FOR COOPERATIVE AREA OFFICES,"₦107,439,750.00",₦0.00,Awaiting Approval - Mr Governor (MG),,09/02/26,01/01/70,107439750.0,0.0,MG,107439750.0,67,60+ days
310,CCTI/ADC. 1192 (2026),ACTIVITIES OF CHAMBERS OF COMMERCE AND INDUSTRY AT GRASSROOTS LEVEL,Committee Expenses -: 004/04002/01/776/11009/0000/40813,Commerce,APPROVAL FOR AIDING/FUNDING OF SOME OF THE ACTIVITIES OF BUSINESS MEMBERSHIP ORGANISATIONS (BMOs) AND CHAMBERS OF COMMERCE AND INDUSTRY AT THE GRASSROOTS LEVEL,"₦70,000,000.00",₦0.00,Awaiting Approval - Mr Governor (MG),,09/02/26,01/01/70,70000000.0,0.0,MG,70000000.0,67,60+ days
314,CIC/AD. 766 VII (2026),STAFF WELFARE,Welfare Expenses -: 004/04002/01/702/11009/0000/41929,Admin/HR,"REQUEST FOR RELEASE OF FUNDS FOR MONTHLY STAFF AWARDS OF THE MINISTRY OF COMMERCE, COOPERATIVES, TRADE AND INVESTMENT FOR THE YEAR 2026","₦9,690,000.00","₦9,690,000.00",Approved by DG,,09/02/26,26/02/26,9690000.0,9690000.0,DG,0.0,67,60+ days
340,CIC/CC/62/S.1 T,NIGERIAN EXPORT PROMOTION COUNCIL,Committee Expenses -: 004/04002/01/776/11009/0000/40813,Commerce,FACILITATION OF QUARTERLY MEETINGS AND ACTIVITIES OF THE STATE COMMITTEE ON EXPORT PROMOTION (SCEP) FOR THE YEAR 2026,"₦40,000,000.00",₦0.00,Awaiting Approval - Mr Governor (MG),,09/02/26,01/01/70,40000000.0,0.0,MG,40000000.0,67,60+ days
10,CCTI/IC 944 II   (2026),DEVELOPMENT OF AGRO INDUSTRIAL PARK IN LAGOS STATE- ILARA-IGBONLA,"Construction of Fence and mounting of gate at  Enterprise zone (Ijanikin, Igbonla, Ibereko, Agemowo and  Ibeju Agbe -: 004/04002/02/000/11009/6265/45106",Trade,"REQUEST FOR APPROVAL FOR THE CONSTRUCTION OF PERIMETER FENCE AND ERECTION OF ENTRANCE GATES AT IGBONLA ENTERPRISE ZONE, EPE","₦1,690,093,603.06",₦0.00,Awaiting Approval - Mr Governor (MG),,10/03/26,01/01/70,1690093603.06,0.0,MG,1690093603.06,38,31–60 days
84,CIC/ADC. 1713 II  (2026),PLANNING UNIT EXPENSES,Office Equipment and Renovation -: 004/4002/02/777/11009/6129/45011,Planning,REQUEST FOR FUNDS FOR THE PURCHASE OFFICE EQUIPMENT FOR PLANNING UNIT,"₦8,200,000.00",₦0.00,Awaiting Approval - MEBP,,10/03/26,01/01/70,8200000.0,0.0,MEBP,8200000.0,38,31–60 days
119,CCTI/AD 2027 II,HONOURABLE COMMISSIONER OFFICE REPTRESENTATIVE DUTIES,Honourable Commissioner Expenses -: 004/04002/01/702/11009/0000/41714,Office of HC,INVITATION TO ATTEND THE 5TH INTERNATIONAL WOMEN LEADERSHIP CONFERENCE 2026 IN DUBAI,"₦10,041,000.00","₦953,825.00",Approved by DG,,10/03/26,23/02/26,10041000.0,953825.0,DG,9087175.0,38,31–60 days
120,CCTI/INV. 600,C-WEALTH HEADS OF GOVT. FORUM 2026 (CHOGM),Investment Support Services -: 004/04002/01/881/11009/0000/40411,Investment,MEMO ON LAGOS STATE'S STRATEGIC PARTICIPATION IN THE COMMONWEALTH BUSINESS FORUM (CBF-CHOGM) 2026,"₦89,016,324.00",₦0.00,Awaiting Approval - Mr Governor (MG),,10/03/26,01/01/70,89016324.0,0.0,MG,89016324.0,38,31–60 days
138,CIC/ADC 196/S.3  (2026),SEMINAR,Seminar  & Conferences -: 004/04002/01/704/11009/0000/40502,Admin/HR,"REQUEST FOR APPROVAL OF FUNDS TO ATTEND LEADERSHIP IN ACTION: POWER INFLUENCE & NEGOTIATION, CIPM, ICAN, ANNA, AI-ENHANCED HUMAN RESOURCE MANAGEMENT WORKSHOP AND NIGERIA INSTITUTE OF TRAINING & DEVELOPMENT (NITD)","₦60,175,427.00",₦0.00,Awaiting Approval - Deputy Governor (DG),,10/03/26,01/01/70,60175427.0,0.0,DG,60175427.0,38,31–60 days
175,CIC/CC. 284 T  (2026),LAGOS INTERNATIONAL TRADE FAIR,Trade Fair and Exhibitions -: 004/04002/01/776/11009/0000/41401,Commerce,LAGOS STATE PARTICIPATION AT 2026 LAGOS INTERNATIONAL TRADE FAIR,"₦228,800,000.00",₦0.00,Awaiting Approval - Mr Governor (MG),,10/03/26,01/01/70,228800000.0,0.0,MG,228800000.0,38,31–60 days
